"FSC-A:FSC-A","SSC-A:SSC-A","CD45RA:CD45RA","CD154:CD154","CD25:CD25","TCRab:TCRab","CXCR3:CXCR3","HLA-DR:HLA-DR","CD137:CD137","CCR6:CCR6","AQUA-CD14-CD19:AQUA-CD14-CD19","CD4:CD4","CD38:CD38","CD3:CD3","CD69:CD69","CD8:CD8","CD127:CD127","FOXP3:FOXP3","GATA3:GATA3","GZMB:GZMB","IFNG:IFNG","IL13:IL13","IL17A:IL17A","IL2:IL2","IL21:IL21","IL4:IL4","IL5:IL5","PERF:PERF","RORC:RORC","RUNX1:RUNX1","RUNX3:RUNX3","TBET:TBET","TGFB:TGFB","TNF:TNF","if_cloned:if_cloned","cell_index:cell_index"
90747,67038,1333,3697,3600,4182,1538,1663,1316,2303,1452,8425,1444,5361,4553,1444,2414,1180,1181,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,2012,1179,1182,1179,1179,2014
87809,45921,5752,3790,1496,6625,1528,1919,964,1487,1649,12073,2336,6468,4945,1299,2367,1180,1183,1179,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1182,1179,1394,1182,1179,2015
96662,65075,1422,4782,3827,5470,1287,1247,872,2065,1372,14344,1439,6022,15614,1539,4005,1179,1181,1179,1179,1179,1179,1179,1179,1179,1179,1180,2224,1179,1179,1179,1620,1185,1179,2016
83260,38704,8232,3831,1653,9278,1156,1509,954,1352,1417,7916,2136,8998,5618,1238,1352,1180,2569,1179,1181,1179,1180,1179,1179,1179,1179,1180,1184,1179,1180,1179,1179,1186,1179,2017
87481,62513,1481,4242,2666,6191,1279,1724,1084,1662,1393,12770,1460,7420,8730,1349,2097,1179,1180,1180,1179,1179,1179,1180,1179,1179,1179,1179,1181,1181,2230,1180,1180,1183,1179,2018
94204,61730,2687,6780,1827,7255,1366,1662,1329,2257,1626,15353,2007,8320,8958,1515,6907,1181,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1184,1181,1183,1179,1181,1179,1179,2019
98415,60335,1695,4241,3654,7923,1902,1724,818,2749,1493,15198,1443,7245,5523,1376,3380,1180,1618,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1181,1179,1183,1182,1179,2020
92254,42458,4231,4407,2165,9033,1506,2038,1167,1767,1708,10067,2174,9479,9087,1412,4374,1179,1180,1179,1179,1258,1179,1179,1179,1179,1179,1179,1179,1299,1180,1179,1198,1183,1179,2021
95292,57614,1463,3532,2203,7032,1352,1220,849,2844,1555,10683,1714,9163,3457,1380,4054,1179,1181,1179,1179,1179,1179,1179,1179,1179,1179,1179,1364,1183,1398,1179,1179,1196,1179,2022
82931,54861,1612,3626,1917,7575,1378,1407,1165,1616,1575,14946,1786,8059,3192,1346,1828,1179,1180,1179,1182,1179,1179,1179,1179,1179,1179,1181,1193,1185,1181,1179,1518,1556,1179,2023
